0.48144,0.24173,0.13641,0.10431,0.036108
0.45992,0.27315,0.10117,0.12685,0.038911
0.32028,0.35498,0.17972,0.08363,0.061388
0.34515,0.375,0.12873,0.10075,0.050373
0.21697,0.34428,0.25736,0.10472,0.07666
0.14025,0.32964,0.35975,0.077655,0.09271
0.21913,0.38087,0.21652,0.11304,0.070435
0.13702,0.43874,0.28986,0.054018,0.080369
0.16873,0.28694,0.3918,0.07531,0.077216
0.10556,0.25947,0.46817,0.06527,0.10153
0.2436,0.3979,0.22062,0.074196,0.06369
0.22897,0.41556,0.23023,0.083491,0.041746
0.18014,0.32449,0.34115,0.090068,0.064158
0.16046,0.25889,0.35815,0.14144,0.081059
0.2386,0.13362,0.32768,0.22375,0.076352
0.12891,0.27613,0.36842,0.1251,0.10145
0.12756,0.10769,0.56731,0.12564,0.071795
0.077295,0.11836,0.52335,0.17633,0.10467
0.077636,0.033604,0.53418,0.2781,0.076477
0.15629,0.40034,0.29049,0.079841,0.073046
0.19777,0.38282,0.29533,0.04772,0.076352
0.14674,0.16739,0.43478,0.1663,0.084783
0.31229,0.4471,0.1058,0.08959,0.045222
0.24874,0.42689,0.16975,0.10168,0.052941
0.23544,0.37015,0.19539,0.11408,0.084951
0.19297,0.42355,0.22731,0.10793,0.048242
0.29292,0.16974,0.33172,0.12706,0.078565
0.2513,0.17318,0.31771,0.1862,0.071615
0.22712,0.29902,0.28431,0.1299,0.059641
0.30863,0.1288,0.32321,0.19806,0.041312
0.41157,0.2881,0.15462,0.093437,0.05228
0.47774,0.28447,0.11509,0.081433,0.04126
0.4244,0.24905,0.13469,0.11182,0.080051
0.46801,0.3569,0.080808,0.059484,0.034792
0.14286,0.10204,0.53061,0.161,0.063492
0.15199,0.19602,0.38778,0.15057,0.11364
0.40286,0.20654,0.2229,0.11043,0.05726
0.40426,0.20567,0.22222,0.1253,0.042553
0.13867,0.57106,0.16365,0.04565,0.080965
0.25262,0.57592,0.098168,0.037958,0.03534
0.14194,0.5871,0.16,0.021935,0.089032
0.17935,0.29406,0.26903,0.17518,0.082377
0.18329,0.62568,0.10209,0.031709,0.057231
0.26335,0.56538,0.096685,0.040516,0.03407
0.18943,0.53333,0.16423,0.049593,0.063415
0.11882,0.19962,0.51901,0.094106,0.068441
0.081741,0.19108,0.47452,0.12633,0.12633
0.21565,0.46239,0.21966,0.04012,0.062187
0.27701,0.39194,0.19352,0.06778,0.069745
0.16591,0.33832,0.3149,0.085882,0.09499
0.21324,0.38787,0.19669,0.13051,0.071691
0.27488,0.49005,0.13806,0.043532,0.053483
0.15647,0.5,0.19765,0.051765,0.094118
0.22866,0.44299,0.19881,0.054328,0.075224
0.14433,0.19656,0.411,0.17457,0.07354
0.1903,0.45274,0.20522,0.047264,0.10448
0.25692,0.36364,0.25296,0.043478,0.083004
0.15974,0.49769,0.21514,0.058172,0.069252
